[PROP/wald] K=1  FRcrit_avg=0.01981951  conf=0.99  steps=1  n=1328
half_norm=0.00985250  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=10223616
EP_control=wald  E_wald_final=0.00985250
Wald_CI(99%):   [0.00996701, 0.02967201]   half=0.00985250   se=0.00382473   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10713553 (n=1328)
injections_used=1328  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07166262707078314, 0.14321642036897592, 0.08821712631777108, 0.1058070171310241, 0.08104880459337349, 0.08922604480421686, 0.12706195877259036, 0.0929734563253012, 0.08621105515813253, 0.11457548945783133] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.281 ΔH = -0.004 BER = 0.0193 per_class = [0.011295180722891566, 0.01355421686746988, 0.018105028810895755, 0.012801204819277108, 0.01355421686746988, 0.009789156626506024, 0.01430722891566265, 0.04795180722891566, 0.012801204819277108, 0.03930722891566265] agree = 0.980 flip_asym = 0.768

[E_seq] n, E_wald
664,0.01413856
1328,0.00985250

[E_final] E_wald=0.00985250

Top-100 worst injections (proposed iter EP)
  1) Inj    688 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch1.conv [19, 229, 0, 0] bit 30
  2) Inj    758 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch1.conv [340, 34, 0, 0] bit 30
  3) Inj   1169 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch1.conv [188, 642, 0, 0] bit 30
  4) Inj    347 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch1.conv [298, 578, 0, 0] bit 30
  5) Inj    117 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch1.conv [170, 661, 0, 0] bit 30
  6) Inj    336 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch1.conv [329, 500, 0, 0] bit 30
  7) Inj    231 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch1.conv [357, 494, 0, 0] bit 30
  8) Inj    610 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch1.conv [286, 99, 0, 0] bit 30
  9) Inj    192 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch1.conv [320, 412, 0, 0] bit 30
 10) Inj   1242 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch1.conv [172, 144, 0, 0] bit 30
 11) Inj    917 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch1.conv [134, 200, 0, 0] bit 30
 12) Inj    690 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch1.conv [16, 28, 0, 0] bit 30
