[PROP/wald] K=1  FRcrit_avg=0.01990186  conf=0.99  n=16590
half_norm=0.00279321  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=14745600
EP_control=wald  E_wald_final=0.00279321
Wald_CI(99%):   [0.01710865, 0.02269508]   half=0.00279321   se=0.00108432   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10734938 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07028118407172995, 0.14388585932790837, 0.08955696202531646, 0.10548122927968656, 0.08131333823086197, 0.08585885699216396, 0.1276903443339361, 0.09328826665159735, 0.08921696051838457, 0.1134269985684147] Δmax = 0.004 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0195 per_class = [0.012792965287380775, 0.01302803707866999, 0.017236680032497315, 0.013381555153707052, 0.01350210970464135, 0.013381555153707052, 0.013913091128281001, 0.047512959614225435, 0.009923831442818784, 0.040263210769539884] agree = 0.980 flip_asym = 0.623

[E_seq] n, E_wald
16590,0.00279321

[E_final] E_wald=0.00279321

Top-100 worst injections
  1) Inj   1494 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [80, 20, 0, 1] bit 30
  2) Inj   3843 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [218, 59, 1, 2] bit 30
  3) Inj   1633 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [166, 91, 2, 2] bit 30
  4) Inj  13683 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [211, 150, 2, 2] bit 30
  5) Inj   9743 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [194, 120, 0, 0] bit 30
  6) Inj  14727 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [75, 64, 1, 2] bit 30
  7) Inj   7012 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [166, 98, 2, 1] bit 30
  8) Inj  13604 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [30, 69, 0, 2] bit 30
  9) Inj   9180 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [6, 67, 0, 2] bit 30
 10) Inj  12816 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [199, 18, 1, 2] bit 30
 11) Inj   8759 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.1.conv [175, 88, 1, 2] bit 30
