[PROP/wald] K=1  FRcrit_avg=0.02007257  conf=0.99  n=16590
half_norm=0.00280492  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1835008
EP_control=wald  E_wald_final=0.00280492
Wald_CI(99%):   [0.01726764, 0.02287749]   half=0.00280492   se=0.00108887   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10678375 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06856516538577456, 0.14829763788426764, 0.09021695110006028, 0.1048558525467149, 0.08138067924954792, 0.08734860043701025, 0.12894439421338155, 0.09314134079264617, 0.08483743972272453, 0.11241193866787222] Δmax = 0.005 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0200 per_class = [0.015076410310959827, 0.009178437026538292, 0.01702439919280866, 0.014553613287790503, 0.013800482218203737, 0.012386980108499096, 0.013058249767110527, 0.04786015672091622, 0.014874787659597787, 0.041832429174201324] agree = 0.980 flip_asym = 0.707

[E_seq] n, E_wald
16590,0.00280492

[E_final] E_wald=0.00280492

Top-100 worst injections
  1) Inj   1019 | FRcrit=0.929688 | maj=5@0.86 Δmax=0.770 KL=1.960 | inception4b.branch2.0.conv [27, 510, 0, 0] bit 30
  2) Inj  15242 | FRcrit=0.929688 | maj=4@0.52 Δmax=0.445 KL=1.564 | inception4b.branch2.0.conv [41, 299, 0, 0] bit 30
  3) Inj   8015 | FRcrit=0.925781 | maj=5@0.78 Δmax=0.695 KL=1.610 | inception4b.branch2.0.conv [22, 349, 0, 0] bit 30
  4) Inj   5905 | FRcrit=0.925781 | maj=5@0.80 Δmax=0.711 KL=1.711 | inception4b.branch2.0.conv [22, 339, 0, 0] bit 30
  5) Inj   5884 | FRcrit=0.921875 | maj=4@0.80 Δmax=0.719 KL=1.920 | inception4b.branch2.0.conv [96, 455, 0, 0] bit 30
  6) Inj   9635 | FRcrit=0.921875 | maj=5@0.44 Δmax=0.352 KL=1.334 | inception4b.branch2.0.conv [27, 457, 0, 0] bit 30
  7) Inj  14602 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4b.branch2.0.conv [13, 397, 0, 0] bit 30
  8) Inj  16095 | FRcrit=0.921875 | maj=5@0.53 Δmax=0.445 KL=1.519 | inception4b.branch2.0.conv [21, 228, 0, 0] bit 30
  9) Inj  11598 | FRcrit=0.921875 | maj=4@0.82 Δmax=0.746 KL=1.924 | inception4b.branch2.0.conv [14, 195, 0, 0] bit 30
 10) Inj  13433 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4b.branch2.0.conv [27, 124, 0, 0] bit 30
 11) Inj   7281 | FRcrit=0.917969 | maj=4@0.82 Δmax=0.738 KL=1.943 | inception4b.branch2.0.conv [54, 159, 0, 0] bit 30
 12) Inj  15880 | FRcrit=0.917969 | maj=4@0.91 Δmax=0.828 KL=2.136 | inception4b.branch2.0.conv [12, 186, 0, 0] bit 30
 13) Inj  13149 | FRcrit=0.917969 | maj=1@0.73 Δmax=0.586 KL=1.480 | inception4b.branch2.0.conv [98, 25, 0, 0] bit 30
 14) Inj   4673 | FRcrit=0.917969 | maj=4@1.00 Δmax=0.918 KL=2.523 | inception4b.branch2.0.conv [89, 500, 0, 0] bit 30
 15) Inj   3705 | FRcrit=0.917969 | maj=4@0.92 Δmax=0.844 KL=2.236 | inception4b.branch2.0.conv [54, 261, 0, 0] bit 30
 16) Inj  14286 | FRcrit=0.917969 | maj=5@0.81 Δmax=0.727 KL=1.767 | inception4b.branch2.0.conv [47, 284, 0, 0] bit 30
 17) Inj   5029 | FRcrit=0.917969 | maj=4@0.84 Δmax=0.758 KL=2.002 | inception4b.branch2.0.conv [96, 472, 0, 0] bit 30
 18) Inj   7718 | FRcrit=0.917969 | maj=4@0.89 Δmax=0.812 KL=2.136 | inception4b.branch2.0.conv [12, 237, 0, 0] bit 30
 19) Inj   7468 | FRcrit=0.917969 | maj=2@0.92 Δmax=0.828 KL=2.064 | inception4b.branch2.0.conv [102, 397, 0, 0] bit 30
 20) Inj   6935 | FRcrit=0.914062 | maj=2@0.93 Δmax=0.836 KL=2.110 | inception4b.branch2.0.conv [72, 334, 0, 0] bit 30
 21) Inj   9454 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.910 KL=2.429 | inception4b.branch2.0.conv [39, 339, 0, 0] bit 30
 22) Inj   1394 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [94, 111, 0, 0] bit 30
 23) Inj   4551 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [67, 222, 0, 0] bit 30
 24) Inj   4439 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [18, 283, 0, 0] bit 30
 25) Inj   9766 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [69, 475, 0, 0] bit 30
 26) Inj   2890 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [28, 343, 0, 0] bit 30
 27) Inj   8894 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [75, 428, 0, 0] bit 30
 28) Inj   6121 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [20, 396, 0, 0] bit 30
 29) Inj   6328 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [20, 445, 0, 0] bit 30
 30) Inj  11385 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [39, 75, 0, 0] bit 30
 31) Inj  12346 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [7, 1, 0, 0] bit 30
 32) Inj    330 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [28, 284, 0, 0] bit 30
 33) Inj  14299 | FRcrit=0.914062 | maj=5@0.99 Δmax=0.902 KL=2.384 | inception4b.branch2.0.conv [53, 207, 0, 0] bit 30
 34) Inj  13858 | FRcrit=0.914062 | maj=5@0.98 Δmax=0.898 KL=2.357 | inception4b.branch2.0.conv [67, 205, 0, 0] bit 30
 35) Inj  13311 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [37, 332, 0, 0] bit 30
 36) Inj    558 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [28, 90, 0, 0] bit 30
 37) Inj   9928 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [9, 207, 0, 0] bit 30
 38) Inj   9863 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [7, 96, 0, 0] bit 30
 39) Inj  10329 | FRcrit=0.914062 | maj=5@0.89 Δmax=0.801 KL=1.994 | inception4b.branch2.0.conv [86, 232, 0, 0] bit 30
 40) Inj   3201 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [90, 336, 0, 0] bit 30
