[PROP/wald] K=1  FRcrit_avg=0.01772587  conf=0.99  steps=1  n=1322
half_norm=0.00934868  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=14745600
EP_control=wald  E_wald_final=0.00934868
Wald_CI(99%):   [0.00837719, 0.02707454]   half=0.00934868   se=0.00362915   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.09778200 (n=1322)
injections_used=1322  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06956197995461422, 0.1435384360816944, 0.09068882375189108, 0.10452912254160363, 0.0812245886913767, 0.08489740922844176, 0.12810254349470498, 0.09772421047655068, 0.08565383888048411, 0.11407904689863843] Δmax = 0.003 KL = 0.000 TV = 0.007 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0174 per_class = [0.0113464447806354, 0.0113464447806354, 0.01358284549102151, 0.012102874432677761, 0.0113464447806354, 0.012102874432677761, 0.0113464447806354, 0.04124054462934947, 0.0113464447806354, 0.03792233988905699] agree = 0.982 flip_asym = 0.685

[E_seq] n, E_wald
664,0.01410861
1322,0.00934868

[E_final] E_wald=0.00934868

Top-100 worst injections (proposed iter EP)
  1) Inj   1221 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch2.1.conv [89, 37, 2, 2] bit 30
  2) Inj   1080 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch2.1.conv [148, 6, 0, 0] bit 30
  3) Inj    473 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4e.branch2.1.conv [287, 78, 2, 1] bit 30
  4) Inj    239 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch2.1.conv [109, 98, 0, 0] bit 30
  5) Inj    500 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch2.1.conv [190, 69, 2, 1] bit 30
  6) Inj    533 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch2.1.conv [205, 83, 2, 0] bit 30
  7) Inj    549 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4e.branch2.1.conv [202, 96, 2, 2] bit 30
  8) Inj    668 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4e.branch2.1.conv [292, 15, 0, 2] bit 30
  9) Inj     68 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4e.branch2.1.conv [179, 112, 2, 2] bit 30
 10) Inj    292 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4e.branch2.1.conv [204, 17, 0, 2] bit 30
 11) Inj    850 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4e.branch2.1.conv [196, 103, 1, 2] bit 30
 12) Inj    505 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception4e.branch2.1.conv [304, 34, 2, 1] bit 30
 13) Inj   1046 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4e.branch2.1.conv [23, 125, 0, 2] bit 30
 14) Inj    702 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4e.branch2.1.conv [9, 42, 0, 2] bit 30
 15) Inj    516 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | inception4e.branch2.1.conv [290, 79, 1, 1] bit 30
 16) Inj      6 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4e.branch2.1.conv [94, 42, 2, 2] bit 30
 17) Inj      3 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.1.conv [275, 154, 0, 0] bit 12
 18) Inj    147 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.1.conv [295, 80, 2, 1] bit 6
 19) Inj    207 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.1.conv [302, 36, 0, 0] bit 6
 20) Inj    131 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.1.conv [47, 66, 0, 1] bit 3
 21) Inj     12 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4e.branch2.1.conv [110, 69, 0, 2] bit 7
