[PROP/wald] K=1  FRcrit_avg=0.02011472  conf=0.99  n=16590
half_norm=0.00280781  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=393216
EP_control=wald  E_wald_final=0.00280781
Wald_CI(99%):   [0.01730691, 0.02292252]   half=0.00280781   se=0.00108999   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10738347 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06855598251959011, 0.147531928119349, 0.09526446654611212, 0.10424036505424955, 0.08016806999698614, 0.08478399073236889, 0.12738660337552743, 0.09339469371609403, 0.08464271586799277, 0.11403118407172996] Δmax = 0.005 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0200 per_class = [0.015083501755132433, 0.009947379567632732, 0.011927038289173677, 0.015069318866787222, 0.015075346594333936, 0.01491588580196175, 0.014663817195462765, 0.047676913803496083, 0.015077538495260015, 0.04021699819168174] agree = 0.980 flip_asym = 0.820

[E_seq] n, E_wald
16590,0.00280781

[E_final] E_wald=0.00280781

Top-100 worst injections
  1) Inj   2329 | FRcrit=0.953125 | maj=1@0.36 Δmax=0.219 KL=1.014 | inception4b.branch3.0.conv [19, 452, 0, 0] bit 30
  2) Inj   5747 | FRcrit=0.953125 | maj=7@0.51 Δmax=0.414 KL=1.078 | inception4b.branch3.0.conv [1, 268, 0, 0] bit 30
  3) Inj  14244 | FRcrit=0.949219 | maj=2@0.71 Δmax=0.617 KL=1.666 | inception4b.branch3.0.conv [12, 269, 0, 0] bit 30
  4) Inj  10211 | FRcrit=0.949219 | maj=1@0.38 Δmax=0.230 KL=0.698 | inception4b.branch3.0.conv [8, 349, 0, 0] bit 30
  5) Inj   9590 | FRcrit=0.925781 | maj=7@0.53 Δmax=0.430 KL=1.345 | inception4b.branch3.0.conv [19, 485, 0, 0] bit 30
  6) Inj   6968 | FRcrit=0.925781 | maj=2@0.56 Δmax=0.473 KL=1.516 | inception4b.branch3.0.conv [23, 225, 0, 0] bit 30
  7) Inj  10317 | FRcrit=0.925781 | maj=2@0.82 Δmax=0.734 KL=1.861 | inception4b.branch3.0.conv [20, 366, 0, 0] bit 30
  8) Inj  15182 | FRcrit=0.921875 | maj=2@0.83 Δmax=0.742 KL=1.860 | inception4b.branch3.0.conv [12, 481, 0, 0] bit 30
  9) Inj  15940 | FRcrit=0.921875 | maj=2@0.67 Δmax=0.582 KL=1.489 | inception4b.branch3.0.conv [19, 339, 0, 0] bit 30
 10) Inj  12812 | FRcrit=0.921875 | maj=2@0.92 Δmax=0.828 KL=2.087 | inception4b.branch3.0.conv [4, 203, 0, 0] bit 30
 11) Inj   6738 | FRcrit=0.917969 | maj=2@0.78 Δmax=0.691 KL=1.780 | inception4b.branch3.0.conv [6, 270, 0, 0] bit 30
 12) Inj   5667 | FRcrit=0.917969 | maj=2@0.84 Δmax=0.750 KL=1.894 | inception4b.branch3.0.conv [6, 217, 0, 0] bit 30
 13) Inj   4980 | FRcrit=0.914062 | maj=2@0.96 Δmax=0.875 KL=2.241 | inception4b.branch3.0.conv [12, 482, 0, 0] bit 30
