[PROP/wald] K=1  FRcrit_avg=0.02444036  conf=0.99  steps=1  n=1671
half_norm=0.00973057  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=589824
EP_control=wald  E_wald_final=0.00973057
Wald_CI(99%):   [0.01470979, 0.03417093]   half=0.00973057   se=0.00377740   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.12385345 (n=1671)
injections_used=1671  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06826937462597248, 0.14665619389587073, 0.10221704817474567, 0.10370146992818671, 0.07981747456612806, 0.08448346798324356, 0.12637688883901854, 0.0925086961400359, 0.08423801241771395, 0.11173137342908437] Δmax = 0.012 KL = 0.001 TV = 0.018 H_baseline = 2.277 H_global = 2.278 ΔH = -0.002 BER = 0.0242 per_class = [0.019748653500897665, 0.014718488686172707, 0.009080737907527385, 0.019837311878006074, 0.019628964691801316, 0.019612643490560907, 0.019712384164807865, 0.05273488928785158, 0.01977585550296502, 0.04679832435667265] agree = 0.976 flip_asym = 0.930

[E_seq] n, E_wald
664,0.01586005
1671,0.00973057

[E_final] E_wald=0.00973057

Top-100 worst injections (proposed iter EP)
  1) Inj    577 | FRcrit=0.929688 | maj=2@0.75 Δmax=0.664 KL=1.735 | inception3a.branch2.0.conv [13, 151, 0, 0] bit 30
  2) Inj    311 | FRcrit=0.921875 | maj=2@0.96 Δmax=0.875 KL=2.259 | inception3a.branch2.0.conv [56, 12, 0, 0] bit 30
  3) Inj   1563 | FRcrit=0.914062 | maj=2@0.97 Δmax=0.879 KL=2.272 | inception3a.branch2.0.conv [22, 185, 0, 0] bit 30
  4) Inj    328 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.898 KL=2.346 | inception3a.branch2.0.conv [57, 35, 0, 0] bit 30
  5) Inj    151 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception3a.branch2.0.conv [79, 138, 0, 0] bit 30
  6) Inj   1069 | FRcrit=0.910156 | maj=2@0.72 Δmax=0.633 KL=1.809 | inception3a.branch2.0.conv [26, 181, 0, 0] bit 30
  7) Inj     53 | FRcrit=0.910156 | maj=2@0.93 Δmax=0.844 KL=2.134 | inception3a.branch2.0.conv [15, 108, 0, 0] bit 30
  8) Inj    525 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [16, 178, 0, 0] bit 30
  9) Inj   1419 | FRcrit=0.910156 | maj=2@0.91 Δmax=0.824 KL=2.076 | inception3a.branch2.0.conv [78, 191, 0, 0] bit 30
 10) Inj   1554 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [11, 143, 0, 0] bit 30
 11) Inj    662 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [84, 179, 0, 0] bit 30
 12) Inj    282 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [23, 120, 0, 0] bit 30
 13) Inj   1520 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [88, 145, 0, 0] bit 30
 14) Inj   1602 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [3, 139, 0, 0] bit 30
 15) Inj   1584 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [19, 46, 0, 0] bit 30
 16) Inj   1212 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [20, 28, 0, 0] bit 30
 17) Inj   1037 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3a.branch2.0.conv [1, 132, 0, 0] bit 30
 18) Inj     49 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [40, 138, 0, 0] bit 30
 19) Inj     57 | FRcrit=0.906250 | maj=2@0.76 Δmax=0.672 KL=1.747 | inception3a.branch2.0.conv [83, 96, 0, 0] bit 30
 20) Inj    347 | FRcrit=0.906250 | maj=2@1.00 Δmax=0.906 KL=2.385 | inception3a.branch2.0.conv [37, 14, 0, 0] bit 30
 21) Inj    753 | FRcrit=0.906250 | maj=2@0.89 Δmax=0.801 KL=1.976 | inception3a.branch2.0.conv [39, 119, 0, 0] bit 30
 22) Inj   1009 | FRcrit=0.902344 | maj=2@0.96 Δmax=0.875 KL=2.221 | inception3a.branch2.0.conv [15, 49, 0, 0] bit 30
 23) Inj   1021 | FRcrit=0.898438 | maj=2@0.97 Δmax=0.883 KL=2.271 | inception3a.branch2.0.conv [41, 183, 0, 0] bit 30
 24) Inj    198 | FRcrit=0.886719 | maj=2@0.49 Δmax=0.402 KL=1.365 | inception3a.branch2.0.conv [0, 49, 0, 0] bit 30
 25) Inj    140 | FRcrit=0.882812 | maj=2@0.57 Δmax=0.477 KL=1.484 | inception3a.branch2.0.conv [17, 61, 0, 0] bit 30
 26) Inj    917 | FRcrit=0.878906 | maj=1@0.64 Δmax=0.496 KL=1.431 | inception3a.branch2.0.conv [86, 64, 0, 0] bit 30
 27) Inj   1427 | FRcrit=0.867188 | maj=1@0.77 Δmax=0.621 KL=1.501 | inception3a.branch2.0.conv [7, 58, 0, 0] bit 30
 28) Inj    752 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception3a.branch2.0.conv [93, 111, 0, 0] bit 30
 29) Inj   1214 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception3a.branch2.0.conv [93, 11, 0, 0] bit 30
 30) Inj    840 | FRcrit=0.855469 | maj=1@0.77 Δmax=0.621 KL=1.459 | inception3a.branch2.0.conv [72, 156, 0, 0] bit 30
 31) Inj   1628 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.852 KL=1.911 | inception3a.branch2.0.conv [72, 121, 0, 0] bit 30
 32) Inj     80 | FRcrit=0.851562 | maj=1@0.83 Δmax=0.684 KL=1.444 | inception3a.branch2.0.conv [81, 62, 0, 0] bit 30
 33) Inj   1641 | FRcrit=0.847656 | maj=1@0.64 Δmax=0.496 KL=1.412 | inception3a.branch2.0.conv [92, 129, 0, 0] bit 30
 34) Inj     48 | FRcrit=0.023438 | maj=1@0.14 Δmax=0.012 KL=0.002 | inception3a.branch2.0.conv [37, 160, 0, 0] bit 25
 35) Inj   1268 | FRcrit=0.019531 | maj=1@0.14 Δmax=0.008 KL=0.001 | inception3a.branch2.0.conv [46, 23, 0, 0] bit 26
