[PROP/wald] K=1  FRcrit_avg=0.01863674  conf=0.99  n=16590
half_norm=0.00270472  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=524288
EP_control=wald  E_wald_final=0.00270472
Wald_CI(99%):   [0.01593202, 0.02134147]   half=0.00270472   se=0.00104997   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10031583 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06869372551235683, 0.14832495102471369, 0.09331581525015069, 0.10447676499397228, 0.08030298749246534, 0.08653791817359856, 0.12715938630198914, 0.0931258005575648, 0.08480306283905968, 0.113259587854129] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0185 per_class = [0.013466652483778322, 0.00737663522473649, 0.012453809261734413, 0.01351550465474516, 0.013462929475587703, 0.011718450326045262, 0.013642756680731364, 0.04648583484026522, 0.013315798125924708, 0.039513763311231666] agree = 0.981 flip_asym = 0.824

[E_seq] n, E_wald
16590,0.00270472

[E_final] E_wald=0.00270472

Top-100 worst injections
  1) Inj   4733 | FRcrit=0.925781 | maj=2@0.78 Δmax=0.691 KL=1.780 | inception3b.branch4.1.conv [24, 61, 0, 0] bit 30
  2) Inj  15720 | FRcrit=0.917969 | maj=2@0.95 Δmax=0.859 KL=2.185 | inception3b.branch4.1.conv [51, 28, 0, 0] bit 30
  3) Inj   7948 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [29, 17, 0, 0] bit 30
  4) Inj   1165 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [43, 243, 0, 0] bit 30
  5) Inj   7003 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [63, 32, 0, 0] bit 30
  6) Inj   2297 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [17, 115, 0, 0] bit 30
  7) Inj  16092 | FRcrit=0.914062 | maj=2@0.78 Δmax=0.691 KL=1.780 | inception3b.branch4.1.conv [51, 217, 0, 0] bit 30
  8) Inj   1219 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [63, 125, 0, 0] bit 30
  9) Inj  14194 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [43, 107, 0, 0] bit 30
 10) Inj   3160 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [63, 143, 0, 0] bit 30
 11) Inj   1720 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [17, 116, 0, 0] bit 30
 12) Inj   2180 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [43, 162, 0, 0] bit 30
 13) Inj   9263 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [3, 54, 0, 0] bit 30
 14) Inj  11824 | FRcrit=0.914062 | maj=5@0.99 Δmax=0.902 KL=2.384 | inception3b.branch4.1.conv [3, 86, 0, 0] bit 30
 15) Inj  11960 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [29, 63, 0, 0] bit 30
 16) Inj  11579 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.895 KL=2.322 | inception3b.branch4.1.conv [35, 59, 0, 0] bit 30
 17) Inj   3548 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [43, 150, 0, 0] bit 30
 18) Inj  12424 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [3, 48, 0, 0] bit 30
 19) Inj   2081 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [17, 249, 0, 0] bit 30
 20) Inj   6703 | FRcrit=0.914062 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3b.branch4.1.conv [23, 15, 0, 0] bit 30
 21) Inj   8563 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [29, 13, 0, 0] bit 30
 22) Inj   3876 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [40, 14, 0, 0] bit 30
 23) Inj   4777 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [29, 127, 0, 0] bit 30
 24) Inj   1182 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [43, 63, 0, 0] bit 30
 25) Inj  13892 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [17, 48, 0, 0] bit 30
 26) Inj   2783 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch4.1.conv [28, 32, 0, 0] bit 30
 27) Inj   2905 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch4.1.conv [33, 7, 0, 0] bit 30
 28) Inj    223 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch4.1.conv [50, 198, 0, 0] bit 30
 29) Inj    729 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch4.1.conv [62, 190, 0, 0] bit 30
 30) Inj   4977 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch4.1.conv [33, 148, 0, 0] bit 30
 31) Inj   4115 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch4.1.conv [13, 49, 0, 0] bit 30
 32) Inj   2964 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch4.1.conv [2, 251, 0, 0] bit 30
