[PROP/wald] K=1  FRcrit_avg=0.01847875  conf=0.99  n=16590
half_norm=0.00269345  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=7225344
EP_control=wald  E_wald_final=0.00269345
Wald_CI(99%):   [0.01578530, 0.02117220]   half=0.00269345   se=0.00104559   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.09984113 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06868642631103074, 0.1482262940777577, 0.08934622701928872, 0.1054725173297167, 0.08126342111211574, 0.08778725889089813, 0.12782855824291742, 0.0937829641350211, 0.08488476680229054, 0.11272156607896323] Δmax = 0.004 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0183 per_class = [0.013385100875793355, 0.00758190378443543, 0.016198862594019446, 0.012443908646440292, 0.012248342374924653, 0.010373171132664803, 0.012597950572634117, 0.0455117540687161, 0.013211682831935996, 0.03988547317661242] agree = 0.982 flip_asym = 0.739

[E_seq] n, E_wald
16590,0.00269345

[E_final] E_wald=0.00269345

Top-100 worst injections
  1) Inj   7456 | FRcrit=0.953125 | maj=4@0.81 Δmax=0.734 KL=1.952 | inception4b.branch2.1.conv [169, 67, 0, 1] bit 30
  2) Inj   2805 | FRcrit=0.933594 | maj=3@0.75 Δmax=0.648 KL=1.595 | inception4b.branch2.1.conv [141, 17, 1, 1] bit 30
  3) Inj   7713 | FRcrit=0.929688 | maj=4@0.90 Δmax=0.824 KL=2.169 | inception4b.branch2.1.conv [204, 0, 1, 1] bit 30
  4) Inj   4529 | FRcrit=0.929688 | maj=4@0.87 Δmax=0.789 KL=2.076 | inception4b.branch2.1.conv [98, 48, 2, 2] bit 30
  5) Inj   9553 | FRcrit=0.925781 | maj=2@0.83 Δmax=0.738 KL=1.869 | inception4b.branch2.1.conv [35, 51, 2, 0] bit 30
  6) Inj   4162 | FRcrit=0.925781 | maj=4@0.98 Δmax=0.898 KL=2.424 | inception4b.branch2.1.conv [164, 79, 2, 0] bit 30
  7) Inj    965 | FRcrit=0.925781 | maj=4@0.92 Δmax=0.844 KL=2.217 | inception4b.branch2.1.conv [145, 18, 0, 1] bit 30
  8) Inj   5299 | FRcrit=0.925781 | maj=4@0.89 Δmax=0.809 KL=2.102 | inception4b.branch2.1.conv [78, 72, 2, 0] bit 30
  9) Inj  15253 | FRcrit=0.921875 | maj=2@0.68 Δmax=0.590 KL=1.797 | inception4b.branch2.1.conv [57, 33, 0, 1] bit 30
 10) Inj  13354 | FRcrit=0.917969 | maj=4@0.90 Δmax=0.820 KL=2.158 | inception4b.branch2.1.conv [133, 52, 2, 0] bit 30
 11) Inj  12521 | FRcrit=0.917969 | maj=5@1.00 Δmax=0.910 KL=2.427 | inception4b.branch2.1.conv [124, 46, 2, 0] bit 30
 12) Inj    555 | FRcrit=0.917969 | maj=5@0.82 Δmax=0.730 KL=1.796 | inception4b.branch2.1.conv [93, 26, 1, 2] bit 30
 13) Inj   5740 | FRcrit=0.917969 | maj=5@0.98 Δmax=0.898 KL=2.366 | inception4b.branch2.1.conv [213, 68, 2, 1] bit 30
 14) Inj  15236 | FRcrit=0.917969 | maj=5@0.73 Δmax=0.648 KL=1.528 | inception4b.branch2.1.conv [48, 108, 1, 2] bit 30
 15) Inj   7412 | FRcrit=0.917969 | maj=2@0.95 Δmax=0.855 KL=2.172 | inception4b.branch2.1.conv [123, 14, 1, 0] bit 30
 16) Inj   4635 | FRcrit=0.917969 | maj=4@1.00 Δmax=0.918 KL=2.521 | inception4b.branch2.1.conv [186, 64, 2, 2] bit 30
 17) Inj   2616 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.1.conv [213, 50, 1, 1] bit 30
