[PROP/wald] K=1  FRcrit_avg=0.01503000  conf=0.99  n=16590
half_norm=0.00243340  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1769472
EP_control=wald  E_wald_final=0.00243340
Wald_CI(99%):   [0.01259660, 0.01746340]   half=0.00243340   se=0.00094464   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.08454520 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06998544868896926, 0.1432131555153707, 0.08937071466244725, 0.10557894439421338, 0.08072610571127185, 0.08514377072031344, 0.1294828869047619, 0.09455597310126582, 0.0858682753164557, 0.11607472498493068] Δmax = 0.004 KL = 0.000 TV = 0.007 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0147 per_class = [0.008190618019359643, 0.009119788866624309, 0.012592709070419582, 0.00853258321612752, 0.009201326100060277, 0.009236122527261768, 0.0074214112188795735, 0.04159373116335142, 0.008499095840867993, 0.033068113321277876] agree = 0.985 flip_asym = 0.725

[E_seq] n, E_wald
16590,0.00243340

[E_final] E_wald=0.00243340

Top-100 worst injections
  1) Inj   6600 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [56, 0, 2, 0] bit 30
  2) Inj   2415 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [15, 21, 0, 2] bit 30
  3) Inj  14659 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [90, 29, 1, 0] bit 30
  4) Inj   2679 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [83, 4, 2, 0] bit 30
  5) Inj  11352 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [90, 4, 2, 1] bit 30
  6) Inj   5487 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [111, 40, 1, 0] bit 30
  7) Inj   9843 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [90, 11, 2, 1] bit 30
  8) Inj   7364 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [48, 38, 1, 2] bit 30
  9) Inj   4001 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [90, 38, 0, 1] bit 30
 10) Inj   2011 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [38, 38, 2, 1] bit 30
 11) Inj   3809 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [13, 40, 1, 0] bit 30
 12) Inj   7554 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [13, 40, 1, 1] bit 30
 13) Inj  13760 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [56, 17, 1, 0] bit 30
 14) Inj  13084 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [73, 7, 2, 1] bit 30
 15) Inj   1451 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [48, 0, 0, 0] bit 30
 16) Inj   8734 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [94, 6, 2, 0] bit 30
 17) Inj  14993 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch3.1.conv [15, 11, 2, 2] bit 30
 18) Inj   3461 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch3.1.conv [77, 10, 2, 2] bit 30
 19) Inj   3697 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [67, 0, 0, 1] bit 30
 20) Inj   9649 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [7, 43, 0, 1] bit 30
 21) Inj  10845 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [100, 35, 2, 1] bit 30
 22) Inj  15649 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [67, 7, 0, 2] bit 30
 23) Inj   3812 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [100, 6, 2, 0] bit 30
 24) Inj   8382 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [7, 35, 1, 2] bit 30
 25) Inj  11167 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [67, 0, 1, 2] bit 30
 26) Inj   3148 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [124, 23, 1, 2] bit 30
 27) Inj   4312 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [40, 7, 2, 0] bit 30
 28) Inj  11147 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [67, 21, 0, 0] bit 30
 29) Inj  11590 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [84, 29, 0, 2] bit 30
 30) Inj  13395 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch3.1.conv [84, 38, 2, 1] bit 30
 31) Inj  15725 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [72, 40, 0, 2] bit 30
 32) Inj   4205 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [89, 39, 0, 0] bit 30
 33) Inj   4278 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [21, 47, 1, 1] bit 30
 34) Inj   2040 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [119, 46, 0, 0] bit 30
 35) Inj   2503 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [22, 3, 0, 2] bit 30
 36) Inj   2137 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [119, 17, 1, 2] bit 30
 37) Inj   8394 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [91, 40, 2, 2] bit 30
 38) Inj  16455 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [110, 3, 0, 2] bit 30
 39) Inj   9215 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch3.1.conv [35, 3, 2, 2] bit 30
