[PROP/wald] K=1  FRcrit_avg=0.01609662  conf=0.99  steps=1  n=1143
half_norm=0.00958885  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=4259840
EP_control=wald  E_wald_final=0.00958885
Wald_CI(99%):   [0.00650778, 0.02568547]   half=0.00958885   se=0.00372238   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.08956815 (n=1143)
injections_used=1143  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07066792432195976, 0.14822219488188976, 0.0885587543744532, 0.1047032206911636, 0.08056854221347332, 0.08503526902887139, 0.1275529035433071, 0.0933672353455818, 0.08857584208223972, 0.11274811351706036] Δmax = 0.004 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0159 per_class = [0.008748906386701663, 0.005249343832020997, 0.014302560006086196, 0.010498687664041995, 0.010498687664041995, 0.010498687664041995, 0.010498687664041995, 0.043919510061242346, 0.006521912033723058, 0.0378827646544182] agree = 0.984 flip_asym = 0.899

[E_seq] n, E_wald
664,0.01311542
1143,0.00958885

[E_final] E_wald=0.00958885

Top-100 worst injections (proposed iter EP)
  1) Inj    336 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.0.conv [46, 93, 0, 0] bit 30
  2) Inj    939 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch2.0.conv [79, 701, 0, 0] bit 30
  3) Inj     61 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.0.conv [76, 234, 0, 0] bit 30
  4) Inj    775 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.0.conv [22, 164, 0, 0] bit 30
  5) Inj    127 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.0.conv [22, 562, 0, 0] bit 30
  6) Inj    374 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.0.conv [141, 282, 0, 0] bit 30
  7) Inj    211 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception5a.branch2.0.conv [99, 515, 0, 0] bit 30
  8) Inj     32 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception5a.branch2.0.conv [4, 352, 0, 0] bit 30
  9) Inj    868 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception5a.branch2.0.conv [42, 482, 0, 0] bit 30
 10) Inj    513 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception5a.branch2.0.conv [44, 586, 0, 0] bit 30
 11) Inj    180 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception5a.branch2.0.conv [50, 363, 0, 0] bit 30
