[PROP/wald] K=1  FRcrit_avg=0.01638176  conf=0.99  n=16590
half_norm=0.00253873  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=3407872
EP_control=wald  E_wald_final=0.00253873
Wald_CI(99%):   [0.01384303, 0.01892049]   half=0.00253873   se=0.00098553   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.09153323 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07093787673297167, 0.1452755330771549, 0.08906226454189271, 0.10476567209162146, 0.08121585857444244, 0.08676466433092224, 0.1287381329113924, 0.09479166666666666, 0.08537758062085593, 0.11307075045207957] Δmax = 0.005 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.279 ΔH = -0.003 BER = 0.0161 per_class = [0.008612558947629684, 0.008383428636593193, 0.014180884241423592, 0.010613265465586141, 0.010015069318866787, 0.008931996273768426, 0.00945074615960692, 0.042637733574442435, 0.010359471751876815, 0.03739602169981917] agree = 0.984 flip_asym = 0.673

[E_seq] n, E_wald
16590,0.00253873

[E_final] E_wald=0.00253873

Top-100 worst injections
  1) Inj   5767 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [107, 766, 0, 0] bit 30
  2) Inj   8778 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [16, 495, 0, 0] bit 30
  3) Inj   6645 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [127, 597, 0, 0] bit 30
  4) Inj    365 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [31, 227, 0, 0] bit 30
  5) Inj  14055 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [13, 528, 0, 0] bit 30
  6) Inj   9808 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [52, 115, 0, 0] bit 30
  7) Inj   2181 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [56, 195, 0, 0] bit 30
  8) Inj   2253 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [81, 387, 0, 0] bit 30
  9) Inj  12164 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [1, 540, 0, 0] bit 30
 10) Inj  14602 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [127, 147, 0, 0] bit 30
 11) Inj   7661 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [49, 273, 0, 0] bit 30
 12) Inj  12668 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [2, 678, 0, 0] bit 30
 13) Inj  15679 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [127, 423, 0, 0] bit 30
 14) Inj   2772 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [119, 239, 0, 0] bit 30
 15) Inj  15117 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [127, 490, 0, 0] bit 30
 16) Inj   8741 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [43, 129, 0, 0] bit 30
 17) Inj   8577 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [96, 24, 0, 0] bit 30
 18) Inj   5996 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [120, 285, 0, 0] bit 30
 19) Inj  13000 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [13, 174, 0, 0] bit 30
 20) Inj  11241 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [9, 66, 0, 0] bit 30
 21) Inj  14149 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [43, 603, 0, 0] bit 30
 22) Inj   7103 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [126, 60, 0, 0] bit 30
 23) Inj  10138 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [43, 387, 0, 0] bit 30
 24) Inj   2805 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [49, 589, 0, 0] bit 30
 25) Inj  14538 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [31, 34, 0, 0] bit 30
 26) Inj   4506 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch4.1.conv [119, 620, 0, 0] bit 30
