[PROP/wald] K=1  FRcrit_avg=0.02002877  conf=0.99  n=16590
half_norm=0.00280192  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=851968
EP_control=wald  E_wald_final=0.00280192
Wald_CI(99%):   [0.01722685, 0.02283070]   half=0.00280192   se=0.00108770   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10807545 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07069700308921037, 0.14241424615732368, 0.08816658190174805, 0.10801923221820374, 0.08022599269138035, 0.08467874095840867, 0.1270183468957203, 0.09442788389089814, 0.09010534395720314, 0.11424662823990356] Δmax = 0.004 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.280 ΔH = -0.004 BER = 0.0196 per_class = [0.012502216076303939, 0.014647377938517179, 0.018667610137065284, 0.010901256892818074, 0.014638336347197106, 0.014647377938517179, 0.014645551354412114, 0.04642555756479807, 0.00918680475642501, 0.039604179224432386] agree = 0.980 flip_asym = 0.813

[E_seq] n, E_wald
16590,0.00280192

[E_final] E_wald=0.00280192

Top-100 worst injections
  1) Inj   6191 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 49, 0, 0] bit 30
  2) Inj   9394 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 660, 0, 0] bit 30
  3) Inj   2561 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 222, 0, 0] bit 30
  4) Inj   7691 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 145, 0, 0] bit 30
  5) Inj  13631 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 253, 0, 0] bit 30
  6) Inj   7689 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 381, 0, 0] bit 30
  7) Inj   8686 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 409, 0, 0] bit 30
  8) Inj   1913 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [13, 255, 0, 0] bit 30
  9) Inj  12833 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 785, 0, 0] bit 30
 10) Inj   8725 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 555, 0, 0] bit 30
 11) Inj   7332 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [13, 610, 0, 0] bit 30
 12) Inj     67 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 592, 0, 0] bit 30
 13) Inj   8863 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 80, 0, 0] bit 30
 14) Inj   1572 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [29, 118, 0, 0] bit 30
 15) Inj   2641 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [13, 142, 0, 0] bit 30
 16) Inj  12251 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 71, 0, 0] bit 30
 17) Inj  11843 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 648, 0, 0] bit 30
 18) Inj   4983 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 633, 0, 0] bit 30
 19) Inj   9390 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 347, 0, 0] bit 30
 20) Inj   3893 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 540, 0, 0] bit 30
 21) Inj   7357 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 749, 0, 0] bit 30
 22) Inj   5020 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 288, 0, 0] bit 30
 23) Inj   9997 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 116, 0, 0] bit 30
 24) Inj    507 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 462, 0, 0] bit 30
 25) Inj   1758 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 820, 0, 0] bit 30
 26) Inj  16031 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 595, 0, 0] bit 30
 27) Inj    910 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 86, 0, 0] bit 30
 28) Inj   5762 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [13, 342, 0, 0] bit 30
 29) Inj   2680 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 335, 0, 0] bit 30
 30) Inj  12022 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [7, 473, 0, 0] bit 30
 31) Inj   6493 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [29, 639, 0, 0] bit 30
 32) Inj   6077 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 580, 0, 0] bit 30
 33) Inj   5207 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [29, 16, 0, 0] bit 30
 34) Inj   6257 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [27, 327, 0, 0] bit 30
 35) Inj  13855 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.0.conv [8, 781, 0, 0] bit 30
 36) Inj    769 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.0.conv [16, 517, 0, 0] bit 30
 37) Inj   1187 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.0.conv [21, 804, 0, 0] bit 30
 38) Inj   1895 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.0.conv [16, 703, 0, 0] bit 30
 39) Inj   2210 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.0.conv [24, 457, 0, 0] bit 30
 40) Inj   1223 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.0.conv [18, 820, 0, 0] bit 30
 41) Inj   2462 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.0.conv [9, 5, 0, 0] bit 30
