[PROP/wald] K=1  FRcrit_avg=0.02347671  conf=0.99  n=15541
half_norm=0.00302818  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=245760
EP_control=wald  E_wald_final=0.00302818
Wald_CI(99%):   [0.02044853, 0.02650489]   half=0.00302818   se=0.00117554   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.12142932 (n=15541)
injections_used=15541  pilot=15541
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06832481420114536, 0.1419503752171675, 0.10256941316517598, 0.1038935316260215, 0.07989049128112734, 0.08738452922913584, 0.12654153730454926, 0.0931015137378547, 0.08435499243935397, 0.11198880179846857] Δmax = 0.013 KL = 0.001 TV = 0.018 H_baseline = 2.277 H_global = 2.281 ΔH = -0.004 BER = 0.0229 per_class = [0.01841050428278898, 0.018317719302211936, 0.00788936977364223, 0.01843391554478357, 0.018483366578727237, 0.015194412433972309, 0.01840683392707072, 0.050822984363940546, 0.018420483062397998, 0.04509791304720846] agree = 0.977 flip_asym = 0.929

[E_seq] n, E_wald
15541,0.00302818

[E_final] E_wald=0.00302818

Top-100 worst injections
  1) Inj   9398 | FRcrit=0.933594 | maj=2@0.70 Δmax=0.605 KL=1.764 | inception4a.branch3.0.conv [10, 365, 0, 0] bit 30
  2) Inj    829 | FRcrit=0.933594 | maj=2@0.86 Δmax=0.773 KL=1.862 | inception4a.branch3.0.conv [10, 295, 0, 0] bit 30
  3) Inj   5782 | FRcrit=0.929688 | maj=7@0.47 Δmax=0.371 KL=1.419 | inception4a.branch3.0.conv [6, 21, 0, 0] bit 30
  4) Inj   1673 | FRcrit=0.929688 | maj=2@0.63 Δmax=0.543 KL=1.700 | inception4a.branch3.0.conv [10, 342, 0, 0] bit 30
  5) Inj  12121 | FRcrit=0.929688 | maj=2@0.57 Δmax=0.480 KL=1.664 | inception4a.branch3.0.conv [14, 318, 0, 0] bit 30
  6) Inj    253 | FRcrit=0.929688 | maj=2@0.59 Δmax=0.496 KL=1.646 | inception4a.branch3.0.conv [14, 20, 0, 0] bit 30
  7) Inj   8068 | FRcrit=0.929688 | maj=2@0.56 Δmax=0.469 KL=1.720 | inception4a.branch3.0.conv [14, 131, 0, 0] bit 30
  8) Inj   4148 | FRcrit=0.929688 | maj=2@0.51 Δmax=0.418 KL=1.469 | inception4a.branch3.0.conv [14, 295, 0, 0] bit 30
  9) Inj   6854 | FRcrit=0.929688 | maj=5@0.55 Δmax=0.465 KL=1.722 | inception4a.branch3.0.conv [7, 392, 0, 0] bit 30
 10) Inj   6414 | FRcrit=0.925781 | maj=5@0.90 Δmax=0.816 KL=2.112 | inception4a.branch3.0.conv [0, 64, 0, 0] bit 30
 11) Inj   3015 | FRcrit=0.925781 | maj=5@0.56 Δmax=0.473 KL=1.643 | inception4a.branch3.0.conv [14, 80, 0, 0] bit 30
 12) Inj  14803 | FRcrit=0.925781 | maj=2@0.95 Δmax=0.859 KL=2.181 | inception4a.branch3.0.conv [11, 134, 0, 0] bit 30
 13) Inj  11122 | FRcrit=0.925781 | maj=5@0.86 Δmax=0.773 KL=1.872 | inception4a.branch3.0.conv [10, 64, 0, 0] bit 30
 14) Inj   9852 | FRcrit=0.925781 | maj=5@0.80 Δmax=0.711 KL=1.776 | inception4a.branch3.0.conv [10, 422, 0, 0] bit 30
 15) Inj  10715 | FRcrit=0.925781 | maj=2@0.93 Δmax=0.844 KL=2.093 | inception4a.branch3.0.conv [2, 229, 0, 0] bit 30
 16) Inj   8509 | FRcrit=0.925781 | maj=5@0.58 Δmax=0.496 KL=1.697 | inception4a.branch3.0.conv [7, 73, 0, 0] bit 30
 17) Inj   7565 | FRcrit=0.921875 | maj=2@0.68 Δmax=0.586 KL=1.621 | inception4a.branch3.0.conv [14, 376, 0, 0] bit 30
 18) Inj   3586 | FRcrit=0.921875 | maj=5@0.60 Δmax=0.512 KL=1.680 | inception4a.branch3.0.conv [5, 329, 0, 0] bit 30
 19) Inj     10 | FRcrit=0.921875 | maj=2@0.56 Δmax=0.473 KL=1.686 | inception4a.branch3.0.conv [5, 406, 0, 0] bit 30
 20) Inj   9419 | FRcrit=0.921875 | maj=2@0.79 Δmax=0.703 KL=1.801 | inception4a.branch3.0.conv [10, 221, 0, 0] bit 30
 21) Inj     13 | FRcrit=0.917969 | maj=2@0.95 Δmax=0.863 KL=2.208 | inception4a.branch3.0.conv [15, 441, 0, 0] bit 30
 22) Inj  13713 | FRcrit=0.917969 | maj=2@0.48 Δmax=0.391 KL=1.328 | inception4a.branch3.0.conv [6, 221, 0, 0] bit 30
 23) Inj   1525 | FRcrit=0.917969 | maj=2@0.84 Δmax=0.754 KL=1.855 | inception4a.branch3.0.conv [12, 234, 0, 0] bit 30
 24) Inj  11986 | FRcrit=0.917969 | maj=2@0.97 Δmax=0.879 KL=2.272 | inception4a.branch3.0.conv [7, 214, 0, 0] bit 30
 25) Inj   1685 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.891 KL=2.295 | inception4a.branch3.0.conv [2, 294, 0, 0] bit 30
 26) Inj   5438 | FRcrit=0.917969 | maj=2@0.91 Δmax=0.820 KL=2.047 | inception4a.branch3.0.conv [5, 135, 0, 0] bit 30
 27) Inj  10065 | FRcrit=0.917969 | maj=5@0.65 Δmax=0.566 KL=1.644 | inception4a.branch3.0.conv [14, 397, 0, 0] bit 30
 28) Inj  10666 | FRcrit=0.917969 | maj=2@0.88 Δmax=0.789 KL=2.010 | inception4a.branch3.0.conv [10, 241, 0, 0] bit 30
 29) Inj  15139 | FRcrit=0.917969 | maj=2@0.91 Δmax=0.824 KL=2.057 | inception4a.branch3.0.conv [15, 293, 0, 0] bit 30
 30) Inj  11792 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.875 KL=2.197 | inception4a.branch3.0.conv [0, 277, 0, 0] bit 30
 31) Inj   4168 | FRcrit=0.917969 | maj=2@0.65 Δmax=0.559 KL=1.553 | inception4a.branch3.0.conv [14, 293, 0, 0] bit 30
 32) Inj   3724 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.871 KL=2.223 | inception4a.branch3.0.conv [0, 142, 0, 0] bit 30
 33) Inj    112 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch3.0.conv [7, 427, 0, 0] bit 30
 34) Inj   4934 | FRcrit=0.914062 | maj=2@0.59 Δmax=0.500 KL=1.358 | inception4a.branch3.0.conv [14, 252, 0, 0] bit 30
 35) Inj    669 | FRcrit=0.914062 | maj=2@0.79 Δmax=0.695 KL=1.652 | inception4a.branch3.0.conv [0, 312, 0, 0] bit 30
 36) Inj   5917 | FRcrit=0.914062 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception4a.branch3.0.conv [13, 350, 0, 0] bit 30
 37) Inj  10413 | FRcrit=0.914062 | maj=2@0.91 Δmax=0.824 KL=2.076 | inception4a.branch3.0.conv [1, 6, 0, 0] bit 30
 38) Inj   1255 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch3.0.conv [5, 397, 0, 0] bit 30
 39) Inj  14546 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch3.0.conv [5, 430, 0, 0] bit 30
 40) Inj   2620 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch3.0.conv [10, 25, 0, 0] bit 30
 41) Inj   6113 | FRcrit=0.914062 | maj=5@0.64 Δmax=0.555 KL=1.667 | inception4a.branch3.0.conv [14, 372, 0, 0] bit 30
 42) Inj   8760 | FRcrit=0.914062 | maj=2@0.94 Δmax=0.852 KL=2.162 | inception4a.branch3.0.conv [12, 412, 0, 0] bit 30
 43) Inj   9815 | FRcrit=0.914062 | maj=2@0.63 Δmax=0.543 KL=1.458 | inception4a.branch3.0.conv [14, 292, 0, 0] bit 30
 44) Inj   2195 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch3.0.conv [5, 81, 0, 0] bit 30
 45) Inj   6302 | FRcrit=0.914062 | maj=2@0.93 Δmax=0.844 KL=2.152 | inception4a.branch3.0.conv [10, 439, 0, 0] bit 30
 46) Inj  11322 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch3.0.conv [5, 359, 0, 0] bit 30
 47) Inj  10633 | FRcrit=0.914062 | maj=5@0.93 Δmax=0.844 KL=2.197 | inception4a.branch3.0.conv [14, 77, 0, 0] bit 30
