[PROP/wald] K=1  FRcrit_avg=0.02031226  conf=0.99  n=16590
half_norm=0.00282128  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1179648
EP_control=wald  E_wald_final=0.00282128
Wald_CI(99%):   [0.01749099, 0.02313354]   half=0.00282128   se=0.00109522   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10908468 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07042858084689572, 0.14429084727245328, 0.08903871873116335, 0.1058739734026522, 0.08182098591018686, 0.08627514692585896, 0.1276948180379747, 0.09300971971066908, 0.08838485156720917, 0.11318235759493671] Δmax = 0.005 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0199 per_class = [0.013140446051838457, 0.013080168776371307, 0.018119873155646407, 0.013381555153707052, 0.013381555153707052, 0.013381555153707052, 0.014285714285714285, 0.0481374321880651, 0.011271850512356841, 0.040988547317661245] agree = 0.980 flip_asym = 0.623

[E_seq] n, E_wald
16590,0.00282128

[E_final] E_wald=0.00282128

Top-100 worst injections
  1) Inj   3566 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [75, 9, 0, 2] bit 30
  2) Inj   2127 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [6, 6, 1, 0] bit 30
  3) Inj  13473 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [27, 12, 2, 1] bit 30
  4) Inj   6398 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [11, 27, 0, 1] bit 30
  5) Inj   5919 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [6, 15, 1, 0] bit 30
  6) Inj  14598 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [62, 12, 1, 2] bit 30
  7) Inj   1880 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [50, 31, 0, 0] bit 30
  8) Inj  10249 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [27, 27, 0, 2] bit 30
  9) Inj   7178 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [5, 18, 0, 0] bit 30
 10) Inj   2866 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [60, 7, 2, 0] bit 30
 11) Inj  11180 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [60, 5, 1, 0] bit 30
 12) Inj   8905 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [57, 2, 2, 2] bit 30
 13) Inj   1693 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [91, 7, 0, 0] bit 30
 14) Inj  15062 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [104, 15, 1, 2] bit 30
 15) Inj   7545 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [99, 17, 1, 2] bit 30
 16) Inj   6963 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [91, 21, 1, 1] bit 30
 17) Inj   6305 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [62, 5, 0, 0] bit 30
 18) Inj   3627 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [91, 23, 2, 0] bit 30
 19) Inj   9779 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [62, 15, 0, 1] bit 30
 20) Inj    782 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [46, 15, 1, 0] bit 30
 21) Inj   9100 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [6, 9, 0, 0] bit 30
 22) Inj   5987 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [33, 29, 0, 2] bit 30
 23) Inj   8270 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [11, 30, 1, 2] bit 30
