[PROP/wald] K=1  FRcrit_avg=0.02006904  conf=0.99  n=16590
half_norm=0.00280468  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=589824
EP_control=wald  E_wald_final=0.00280468
Wald_CI(99%):   [0.01726435, 0.02287372]   half=0.00280468   se=0.00108877   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10504750 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06908905967450271, 0.1557209256329114, 0.0887154347498493, 0.10435055944846293, 0.08039481615430982, 0.08459892066003617, 0.12688201665159735, 0.0933669096594334, 0.08462788200723327, 0.11225347536166365] Δmax = 0.011 KL = 0.001 TV = 0.016 H_baseline = 2.277 H_global = 2.274 ΔH = 0.002 BER = 0.0203 per_class = [0.014647377938517179, 0.0018246094195461283, 0.018906098487826612, 0.01543767999464202, 0.015301386377335744, 0.015576195955942791, 0.015774380331342357, 0.048074743821579266, 0.015239191188558278, 0.0421036769138035] agree = 0.980 flip_asym = 0.944

[E_seq] n, E_wald
16590,0.00280468

[E_final] E_wald=0.00280468

Top-100 worst injections
  1) Inj   8008 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 13, 0, 1] bit 30
  2) Inj  11605 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 23, 0, 1] bit 30
  3) Inj  10698 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 23, 0, 2] bit 30
  4) Inj  15378 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 5, 0, 0] bit 30
  5) Inj   5727 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [52, 0, 1, 2] bit 30
  6) Inj  12524 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 22, 0, 0] bit 30
  7) Inj  11651 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 22, 0, 2] bit 30
  8) Inj  11982 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 0, 2, 0] bit 30
  9) Inj  14561 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch3.1.conv [57, 14, 0, 1] bit 30
 10) Inj  13965 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch3.1.conv [30, 18, 2, 1] bit 30
 11) Inj  14096 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch3.1.conv [30, 21, 2, 0] bit 30
 12) Inj  10787 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch3.1.conv [18, 8, 2, 0] bit 30
